date,time,park,land,attraction,wait_time,is_open
2026-07-13,13:04,Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,0,True
2026-07-13,13:04,Magic Kingdom,Adventureland,Jungle Cruise,30,True
2026-07-13,13:04,Magic Kingdom,Adventureland,Pirates of the Caribbean,30,True
2026-07-13,13:04,Magic Kingdom,Adventureland,Swiss Family Treehouse,5,True
2026-07-13,13:04,Magic Kingdom,Adventureland,The Magic Carpets of Aladdin,10,True
2026-07-13,13:04,Magic Kingdom,Adventureland,Walt Disney's Enchanted Tiki Room,10,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,it's a small world,20,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Casey Jr. Splash 'N' Soak Station,0,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Cinderella Castle,0,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Dumbo the Flying Elephant,10,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Enchanted Tales with Belle,10,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Mad Tea Party,5,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Meet Ariel at Her Grotto,30,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,20,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Meet Daring Disney Pals as Circus Stars at Pete's Silly Sideshow,15,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Meet Dashing Disney Pals as Circus Stars at Pete's Silly Sideshow,15,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,40,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Mickey's PhilharMagic,10,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Peter Pan's Flight,40,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Prince Charming Regal Carrousel,10,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,Seven Dwarfs Mine Train,65,True
2026-07-13,13:04,Magic Kingdom,Fantasyland,The Barnstormer,15,True
